TIMESTAMP,NEE,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801010030,-9999,1.17149,3,1.17149,7,0.668451,3,3,469
200801010100,-9999,1.13861,3,1.13861,8,0.656073,3,3,469
200801010130,-9999,1.00408,3,1.00408,8,0.763986,3,3,469
200801010200,-9999,0.895572,3,0.895572,8,0.665986,3,3,469
200801010230,-9999,0.854759,3,0.854759,8,0.631895,3,3,469
200801010300,-9999,0.961738,3,0.961738,9,0.798481,3,3,469
200801010330,-9999,0.916446,3,0.916446,9,1.02269,3,3,469
200801010400,-9999,1.06105,3,1.06105,10,1.10063,3,3,469
200801010430,-9999,0.905673,3,0.905673,10,1.18714,3,3,469
200801010500,-9999,0.947733,3,0.947733,10,1.18369,3,3,469
200801010530,-9999,0.946253,3,0.946253,9,1.13148,3,3,469
200801010600,-9999,1.14325,3,1.14325,9,0.957351,3,3,469
200801010630,-9999,1.07936,3,1.07936,9,0.837454,3,3,469
200801010700,-9999,0.632272,3,0.632272,10,1.89094,3,3,469
200801010730,-9999,0.703974,3,0.703974,11,1.80762,3,3,469
200801010800,-9999,0.393986,3,0.393986,13,1.72668,3,3,469
200801010830,-9999,-0.087686,3,-0.087686,14,1.68255,3,3,469
200801010900,-9999,-0.505448,3,-0.505448,15,1.64087,3,3,469
200801010930,-9999,-0.655557,3,-0.655557,15,1.26052,3,3,469
200801011000,-9999,-1.21259,3,-1.21259,15,0.784457,3,3,469
200801011030,-9999,-2.30505,3,-2.30505,15,2.77663,3,3,469
200801011100,-9999,-2.9512,3,-2.9512,15,3.0199,3,3,469
200801011130,-9999,-3.67027,3,-3.67027,15,3.62619,3,3,469
200801011200,-9999,-3.84512,3,-3.84512,15,3.6112,3,3,469
200801011230,-9999,-3.99289,3,-3.99289,15,3.52678,3,3,469
200801011300,-9999,-3.26843,3,-3.26843,15,2.88512,3,3,469
200801011330,-9999,-2.61645,3,-2.61645,15,2.71138,3,3,469
200801011400,-9999,-1.92038,3,-1.92038,15,1.33613,3,3,469
200801011430,-9999,-1.6741,3,-1.6741,15,1.11575,3,3,469
200801011500,-9999,-1.47757,3,-1.47757,15,1.11212,3,3,469
200801011530,-9999,-0.866701,3,-0.866701,15,2.22018,3,3,469
200801011600,-9999,-1.19718,3,-1.19718,16,2.91113,3,3,469
200801011630,-9999,0.900849,3,0.900849,2,0.763189,3,3,463
200801011700,-9999,0.869578,3,0.869578,3,0.542367,3,3,463
200801011730,-9999,1.01183,3,1.01183,4,0.52636,3,3,463
200801011800,-9999,1.17148,3,1.17148,5,0.57898,3,3,463
200801011830,-9999,1.12713,3,1.12713,5,0.561448,3,3,463
200801011900,-9999,1.47632,3,1.47632,5,0.506217,3,3,463
200801011930,-9999,1.67792,3,1.67792,5,0.349496,3,3,463
200801012000,-9999,1.73775,3,1.73775,4,0.372826,3,3,463
200801012030,-9999,1.71365,3,1.71365,3,0.452786,3,3,463
200801012100,-9999,1.96109,3,1.96109,2,0.206571,3,3,463
200801012130,-9999,1.31388,3,1.31388,11,0.439573,3,3,469
200801012200,-9999,1.1036,3,1.1036,10,0.177676,3,3,469
200801012230,-9999,1.054,3,1.054,10,0.176404,3,3,469
200801012300,-9999,0.974261,3,0.974261,10,0.201807,3,3,469
200801012330,-9999,0.924082,3,0.924082,11,0.690968,3,3,469
200801020000,-9999,0.990822,3,0.990822,12,0.703064,3,3,469
200801020030,-9999,0.976002,3,0.976002,12,0.755314,3,3,469
200801020100,-9999,1.01029,3,1.01029,13,0.745481,3,3,469
200801020130,-9999,0.948314,3,0.948314,13,0.785275,3,3,469
200801020200,-9999,1.08204,3,1.08204,13,0.638752,3,3,469
200801020230,-9999,1.14577,3,1.14577,13,0.681985,3,3,469
200801020300,-9999,1.14814,3,1.14814,13,0.769377,3,3,469
200801020330,-9999,1.09637,3,1.09637,12,0.975261,3,3,469
200801020400,-9999,1.22247,3,1.22247,12,1.0646,3,3,469
200801020430,-9999,1.01012,3,1.01012,11,1.17829,3,3,469
200801020500,-9999,0.947733,3,0.947733,10,1.18369,3,3,469
200801020530,-9999,0.946253,3,0.946253,9,1.13148,3,3,469
200801020600,-9999,1.14325,3,1.14325,9,0.957351,3,3,469
200801020630,-9999,1.07936,3,1.07936,9,0.837454,3,3,469
200801020700,-9999,1.03033,3,1.03033,2,0.708452,3,3,463
200801020730,-9999,0.87576,3,0.87576,2,0.489855,3,3,463
200801020800,-9999,0.242112,3,0.242112,3,1.15087,3,3,463
200801020830,-9999,-0.289742,3,-0.289742,4,1.41932,3,3,463
200801020900,-9999,-0.681447,3,-0.681447,5,1.50931,3,3,463
200801020930,-9999,-1.04309,3,-1.04309,5,1.35545,3,3,463
200801021000,-9999,-1.4606,3,-1.4606,5,0.586871,3,3,463
200801021030,-9999,-1.71416,3,-1.71416,5,0.624388,3,3,463
200801021100,-9999,-1.61443,3,-1.61443,5,0.630013,3,3,463
200801021130,-9999,-1.42148,3,-1.42148,5,0.52661,3,3,463
200801021200,-9999,-1.3633,3,-1.3633,5,0.561237,3,3,463
200801021230,-9999,-1.39499,3,-1.39499,5,0.529679,3,3,463
200801021300,-9999,-0.992075,3,-0.992075,5,0.433322,3,3,463
200801021330,-9999,-0.764173,3,-0.764173,5,0.471843,3,3,463
200801021400,-9999,-0.589751,3,-0.589751,5,0.385086,3,3,463
200801021430,-9999,-0.43215,3,-0.43215,5,0.339983,3,3,463
200801021500,-9999,-0.204018,3,-0.204018,5,0.195787,3,3,463
200801021530,-9999,-0.0773238,3,-0.0773238,5,0.308292,3,3,463
200801021600,-9999,0.266035,3,0.266035,6,0.645987,3,3,463
200801021630,-9999,0.472797,3,0.472797,7,0.546604,3,3,463
200801021700,-9999,0.759655,3,0.759655,8,0.591862,3,3,463
200801021730,-9999,1.00272,3,1.00272,9,0.582837,3,3,463
200801021800,-9999,1.16437,3,1.16437,9,0.582535,3,3,463
200801021830,-9999,1.24531,3,1.24531,8,0.511795,3,3,463
200801021900,-9999,1.53824,3,1.53824,7,0.42842,3,3,463
200801021930,-9999,1.66917,3,1.66917,6,0.313334,3,3,463
200801022000,-9999,1.73775,3,1.73775,4,0.372826,3,3,463
200801022030,-9999,1.71365,3,1.71365,3,0.452786,3,3,463
200801022100,-9999,1.96109,3,1.96109,2,0.206571,3,3,463
200801022130,-9999,1.6252,3,1.6252,15,0.70686,3,3,469
200801022200,-9999,1.43825,3,1.43825,13,0.715249,3,3,469
200801022230,-9999,1.34716,3,1.34716,12,0.740724,3,3,469
200801022300,-9999,1.313,3,1.313,12,0.825787,3,3,469
200801022330,-9999,1.06819,3,1.06819,12,0.826572,3,3,469
200801030000,-9999,2.06365,3,2.06365,2,0.419692,3,3,463
200801030030,-9999,2.06365,3,2.06365,2,0.419692,3,3,463
200801030100,-9999,1.82134,3,1.82134,3,0.514028,3,3,463
200801030130,-9999,1.82134,3,1.82134,3,0.514028,3,3,463
200801030200,-9999,1.64287,3,1.64287,3,0.266736,3,3,463
200801030230,-9999,1.56874,3,1.56874,3,0.245055,3,3,463
200801030300,-9999,1.73451,3,1.73451,4,0.387235,3,3,463
200801030330,-9999,1.92025,3,1.92025,4,0.301505,3,3,463
200801030400,-9999,2.03525,3,2.03525,5,0.36649,3,3,463
200801030430,-9999,1.93888,3,1.93888,5,0.481045,3,3,463
200801030500,-9999,1.93624,3,1.93624,5,0.483787,3,3,463
200801030530,-9999,1.86234,3,1.86234,4,0.525036,3,3,463
200801030600,-9999,1.73742,3,1.73742,4,0.515461,3,3,463
200801030630,-9999,1.56332,3,1.56332,4,0.187313,3,3,463
200801030700,-9999,1.34466,3,1.34466,5,0.491142,3,3,463
200801030730,-9999,1.31916,3,1.31916,6,0.439443,3,3,463
200801030800,-9999,0.8881,3,0.8881,8,0.940677,3,3,463
200801030830,-9999,0.382964,3,0.382964,9,1.23891,3,3,463
200801030900,-9999,-0.143336,3,-0.143336,10,1.32942,3,3,463
200801030930,-9999,-0.710145,3,-0.710145,10,1.39092,3,3,463
200801031000,-9999,-1.18298,3,-1.18298,10,0.866852,3,3,463
200801031030,-9999,-2.51582,3,-2.51582,10,3.36556,3,3,463
200801031100,-9999,-3.22415,3,-3.22415,10,3.65245,3,3,463
200801031130,-9999,-4.16774,3,-4.16774,10,4.37679,3,3,463
200801031200,-9999,-4.05248,3,-4.05248,10,4.44128,3,3,463
200801031230,-9999,-4.25199,3,-4.25199,10,4.33097,3,3,463
200801031300,-9999,-3.16266,3,-3.16266,10,3.54166,3,3,463
200801031330,-9999,-2.3682,3,-2.3682,10,3.25682,3,3,463
200801031400,-9999,-1.41608,3,-1.41608,10,1.08016,3,3,463
200801031430,-9999,-1.35608,3,-1.35608,10,1.15026,3,3,463
200801031500,-9999,-1.148,3,-1.148,10,1.12402,3,3,463
200801031530,-9999,-1.18951,3,-1.18951,10,1.40518,3,3,463
