TIMESTAMP,LE,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801010030,-9999,7.25842,3,7.25842,15,7.25175,3,3,469
200801010100,-9999,7.06215,3,7.06215,15,7.3304,3,3,469
200801010130,-9999,6.30844,3,6.30844,15,7.12566,3,3,469
200801010200,-9999,5.86935,3,5.86935,15,6.13843,3,3,469
200801010230,-9999,5.65162,3,5.65162,15,5.58675,3,3,469
200801010300,-9999,6.60235,3,6.60235,15,7.4016,3,3,469
200801010330,-9999,7.07081,3,7.07081,15,8.85876,3,3,469
200801010400,-9999,7.19676,3,7.19676,15,9.36341,3,3,469
200801010430,-9999,5.82071,3,5.82071,15,9.8255,3,3,469
200801010500,-9999,4.61862,3,4.61862,15,9.74439,3,3,469
200801010530,-9999,2.81752,3,2.81752,15,7.69694,3,3,469
200801010600,-9999,2.12814,3,2.12814,15,5.59734,3,3,469
200801010630,-9999,2.21979,3,2.21979,15,4.50294,3,3,469
200801010700,-9999,1.89996,3,1.89996,15,6.83369,3,3,469
200801010730,-9999,4.48674,3,4.48674,15,8.07804,3,3,469
200801010800,-9999,6.95288,3,6.95288,15,10.1998,3,3,469
200801010830,-9999,12.0262,3,12.0262,15,14.982,3,3,469
200801010900,-9999,20.2362,3,20.2362,15,20.9749,3,3,469
200801010930,-9999,32.4069,3,32.4069,15,21.811,3,3,469
200801011000,-9999,46.0861,3,46.0861,15,28.9918,3,3,469
200801011030,-9999,65.7692,3,65.7692,15,36.185,3,3,469
200801011100,-9999,80.9905,3,80.9905,15,33.6876,3,3,469
200801011130,-9999,91.1627,3,91.1627,15,27.8771,3,3,469
200801011200,-9999,97.8207,3,97.8207,15,29.339,3,3,469
200801011230,-9999,99.3766,3,99.3766,15,26.6802,3,3,469
200801011300,-9999,104.551,3,104.551,15,32.6001,3,3,469
200801011330,-9999,105.27,3,105.27,15,37.7372,3,3,469
200801011400,-9999,110.742,3,110.742,15,40.4594,3,3,469
200801011430,-9999,113.4,3,113.4,15,37.3344,3,3,469
200801011500,-9999,115.452,3,115.452,15,38.4659,3,3,469
200801011530,-9999,116.827,3,116.827,15,43.3584,3,3,469
200801011600,-9999,121.033,3,121.033,16,65.0943,3,3,469
200801011630,-9999,30.3435,3,30.3435,2,1.98167,3,3,463
200801011700,-9999,29.2933,3,29.2933,3,2.29618,3,3,463
200801011730,-9999,25.4973,3,25.4973,4,7.81997,3,3,463
200801011800,-9999,23.2482,3,23.2482,5,8.43549,3,3,463
200801011830,-9999,20.185,3,20.185,5,8.62951,3,3,463
200801011900,-9999,16.1782,3,16.1782,5,6.24066,3,3,463
200801011930,-9999,12.6417,3,12.6417,5,2.02393,3,3,463
200801012000,-9999,10.9918,3,10.9918,5,3.41379,3,3,463
200801012030,-9999,8.84518,3,8.84518,5,4.14725,3,3,463
200801012100,-9999,6.95674,3,6.95674,5,3.52975,3,3,463
200801012130,-9999,5.04461,3,5.04461,5,2.83093,3,3,463
200801012200,-9999,3.59111,3,3.59111,5,1.53267,3,3,463
200801012230,-9999,2.63096,3,2.63096,5,1.23012,3,3,463
200801012300,-9999,2.10842,3,2.10842,5,1.31105,3,3,463
200801012330,-9999,1.40087,3,1.40087,5,0.742001,3,3,463
200801020000,-9999,1.07526,3,1.07526,5,0.686091,3,3,463
200801020030,-9999,0.902553,3,0.902553,5,0.340021,3,3,463
200801020100,-9999,0.875842,3,0.875842,5,0.329759,3,3,463
200801020130,-9999,0.920329,3,0.920329,5,0.349258,3,3,463
200801020200,-9999,0.931486,3,0.931486,5,0.339055,3,3,463
200801020230,-9999,1.04449,3,1.04449,5,0.251315,3,3,463
200801020300,-9999,1.6706,3,1.6706,5,1.59617,3,3,463
200801020330,-9999,2.01374,3,2.01374,5,1.58024,3,3,463
200801020400,-9999,2.18849,3,2.18849,5,1.50435,3,3,463
200801020430,-9999,3.02742,3,3.02742,5,1.63231,3,3,463
200801020500,-9999,3.70279,3,3.70279,5,1.29193,3,3,463
200801020530,-9999,3.41952,3,3.41952,5,1.22415,3,3,463
200801020600,-9999,3.40617,3,3.40617,5,1.23508,3,3,463
200801020630,-9999,3.79566,3,3.79566,5,0.957462,3,3,463
200801020700,-9999,4.43307,3,4.43307,5,2.16855,3,3,463
200801020730,-9999,6.1343,3,6.1343,5,4.39377,3,3,463
200801020800,-9999,10.3912,3,10.3912,5,8.80641,3,3,463
200801020830,-9999,19.7637,3,19.7637,5,18.265,3,3,463
200801020900,-9999,30.6574,3,30.6574,5,22.2776,3,3,463
200801020930,-9999,41.3196,3,41.3196,5,21.5172,3,3,463
200801021000,-9999,49.0611,3,49.0611,5,14.628,3,3,463
200801021030,-9999,63.5705,3,63.5705,5,19.2681,3,3,463
200801021100,-9999,69.5222,3,69.5222,5,18.3867,3,3,463
200801021130,-9999,75.2363,3,75.2363,5,18.5122,3,3,463
