TIMESTAMP,H,FILLED,QC,HAT,SAMPLE,STDDEV,METHOD,QC_HAT,TIMEWINDOW
200801010030,-9999,-27.0851,3,-27.0851,15,11.6685,3,3,469
200801010100,-9999,-27.0388,3,-27.0388,15,11.817,3,3,469
200801010130,-9999,-26.8005,3,-26.8005,15,11.5286,3,3,469
200801010200,-9999,-27.66,3,-27.66,15,11.5657,3,3,469
200801010230,-9999,-29.1105,3,-29.1105,15,11.6444,3,3,469
200801010300,-9999,-29.7168,3,-29.7168,15,11.0041,3,3,469
200801010330,-9999,-32.0427,3,-32.0427,15,10.808,3,3,469
200801010400,-9999,-34.6739,3,-34.6739,15,11.7918,3,3,469
200801010430,-9999,-34.162,3,-34.162,15,10.5921,3,3,469
200801010500,-9999,-32.4959,3,-32.4959,15,10.033,3,3,469
200801010530,-9999,-30.0982,3,-30.0982,15,11.0489,3,3,469
200801010600,-9999,-27.3328,3,-27.3328,15,11.0471,3,3,469
200801010630,-9999,-24.2999,3,-24.2999,15,7.37233,3,3,469
200801010700,-9999,-22.2831,3,-22.2831,15,7.55818,3,3,469
200801010730,-9999,-19.9224,3,-19.9224,15,9.49314,3,3,469
200801010800,-9999,-11.8011,3,-11.8011,15,19.6328,3,3,469
200801010830,-9999,3.04971,3,3.04971,15,33.4396,3,3,469
200801010900,-9999,24.1139,3,24.1139,15,49.9303,3,3,469
200801010930,-9999,53.7653,3,53.7653,15,61.3715,3,3,469
200801011000,-9999,88.4078,3,88.4078,15,66.5982,3,3,469
200801011030,-9999,112.266,3,112.266,15,62.6583,3,3,469
200801011100,-9999,130.342,3,130.342,15,62.9977,3,3,469
200801011130,-9999,140.612,3,140.612,15,54.5329,3,3,469
200801011200,-9999,145.31,3,145.31,15,64.5505,3,3,469
200801011230,-9999,144.568,3,144.568,15,61.6395,3,3,469
200801011300,-9999,150.06,3,150.06,15,67.9719,3,3,469
200801011330,-9999,140.466,3,140.466,15,66.2195,3,3,469
200801011400,-9999,130.264,3,130.264,15,74.4535,3,3,469
200801011430,-9999,113.185,3,113.185,15,68.0472,3,3,469
200801011500,-9999,98.9094,3,98.9094,15,68.7911,3,3,469
200801011530,-9999,71.83,3,71.83,15,61.3288,3,3,469
200801011600,-9999,57.5909,3,57.5909,16,58.5765,3,3,469
200801011630,-9999,14.5952,3,14.5952,2,18.3292,3,3,463
200801011700,-9999,7.3229,3,7.3229,3,18.0732,3,3,463
200801011730,-9999,-1.85391,3,-1.85391,4,23.5503,3,3,463
200801011800,-9999,-8.85969,3,-8.85969,5,25.7171,3,3,463
200801011830,-9999,-20.6903,3,-20.6903,5,16.8563,3,3,463
200801011900,-9999,-29.8869,3,-29.8869,5,13.9191,3,3,463
200801011930,-9999,-36.1824,3,-36.1824,5,5.93192,3,3,463
200801012000,-9999,-35.4433,3,-35.4433,5,7.10489,3,3,463
200801012030,-9999,-32.666,3,-32.666,5,8.89111,3,3,463
200801012100,-9999,-31.005,3,-31.005,5,9.86332,3,3,463
200801012130,-9999,-25.6617,3,-25.6617,5,7.86076,3,3,463
200801012200,-9999,-21.8687,3,-21.8687,5,3.17794,3,3,463
200801012230,-9999,-19.7171,3,-19.7171,5,3.5633,3,3,463
200801012300,-9999,-17.4086,3,-17.4086,5,4.51857,3,3,463
200801012330,-9999,-14.4839,3,-14.4839,5,4.49092,3,3,463
200801020000,-9999,-13.0429,3,-13.0429,5,4.38281,3,3,463
200801020030,-9999,-12.2415,3,-12.2415,5,3.00243,3,3,463
200801020100,-9999,-11.8196,3,-11.8196,5,2.65854,3,3,463
200801020130,-9999,-12.2351,3,-12.2351,5,2.74798,3,3,463
200801020200,-9999,-13.8535,3,-13.8535,5,2.49335,3,3,463
200801020230,-9999,-15.6696,3,-15.6696,5,2.67437,3,3,463
200801020300,-9999,-17.8971,3,-17.8971,5,5.68162,3,3,463
