TIMESTAMP,NEE,VPD,USTAR,TA,SW_IN,H,LE
201401010030,0.998483,3.102618,0.625264,26.750830,-4.648938,-51.731219,6.079997
201401010100,0.745969,2.998696,0.585006,26.262770,-4.876523,-31.589294,1.450218
201401010130,0.290100,2.756039,0.469142,25.024120,-4.650571,-12.306626,0.685727
201401010200,0.336641,2.646340,0.559203,24.415450,-4.403214,-29.227896,-2.559405
201401010230,0.825258,2.811801,0.481292,25.263850,-4.569180,-44.461700,6.667470
201401010300,0.676036,2.689748,0.339978,24.573640,-4.523266,-30.758988,3.946739
201401010330,-0.022893,2.573611,0.533719,23.913120,-4.416872,-24.021344,1.156007
201401010400,0.367663,2.454208,0.554773,23.210510,-4.010795,-28.141555,2.952127
201401010430,0.868695,2.492122,0.536870,23.417920,-3.771813,-43.351002,6.194076
201401010500,1.121323,2.584203,0.526802,23.926900,-2.769064,-53.395963,6.938118
201401010530,0.911944,2.725325,0.519016,24.710490,10.354470,-46.810286,9.477165
201401010600,0.989819,2.836910,0.529725,25.346410,50.388540,-48.604521,15.133577
201401010630,0.231990,2.978742,0.621506,26.114330,110.025500,-26.765590,24.711286
201401010700,-0.998142,3.265610,0.732714,27.588950,170.652600,41.765916,59.386411
201401010730,0.825535,3.459356,0.556971,28.408630,49.556250,-48.455986,28.512755
201401010800,0.043278,3.860129,0.525886,30.087290,209.484000,21.395322,34.055035
201401010830,-0.028620,3.918245,0.335870,30.369630,141.860200,9.369757,25.118677
201401010900,-0.378725,4.100388,0.402801,31.136120,252.311100,44.139357,37.281392
201401010930,-0.611384,4.508563,0.491717,32.663000,325.562600,72.966128,55.987930
201401011000,-0.617307,4.625183,0.514117,33.054710,337.182800,109.407832,57.522296
201401011030,-0.229863,4.898890,0.436482,33.998050,488.865200,146.856859,46.425760
201401011100,0.059195,5.512877,0.685817,35.950470,762.631300,233.398873,53.272089
201401011130,1.053866,6.066761,0.599435,37.569370,778.188400,255.380350,40.093221
201401011200,1.033241,5.942937,0.670515,37.174580,247.082200,91.486318,12.036007
201401011230,1.042918,5.685426,0.459154,36.421790,161.230300,22.100597,12.362424
201401011300,0.820590,5.835182,0.334232,36.887080,212.217500,43.539340,21.550670
201401011330,0.759398,6.032942,0.349929,37.472700,291.372200,38.228329,18.744392
201401011400,-0.536909,6.555894,0.250369,38.937390,685.351100,266.372375,30.033784
201401011430,0.887067,6.763698,0.406581,39.481910,481.487500,184.652880,27.473506
201401011500,1.267890,6.470319,0.359694,38.725070,185.819700,55.578073,54.959315
201401011530,-9999.000000,5.588628,-9999.000000,36.910450,85.208350,22.858709,34.695857
201401011600,1.347317,5.410665,0.471344,36.504820,68.890700,-1.447234,35.404122
201401011630,1.548918,5.222057,0.731559,36.149930,82.900060,13.122375,20.896593
201401011700,0.955220,5.274314,-9999.000000,36.180820,82.972510,65.252775,102.094319
201401011730,-9999.000000,4.601026,0.797200,34.096830,59.818030,-9999.000000,-9999.000000
201401011800,-9999.000000,3.833394,0.799808,32.533170,41.246280,-9999.000000,-9999.000000
201401011830,10.839442,2.914717,0.770275,30.531430,25.770750,18.647431,20.632981
201401011900,1.180849,2.797920,0.594964,30.087840,14.749180,-2.950534,19.553000
201401011930,-9999.000000,2.826390,0.451510,30.036350,4.430589,-9999.000000,-9999.000000
201401012000,-9999.000000,2.549448,0.499719,29.545060,-2.174661,-9999.000000,-9999.000000
201401012030,0.785959,2.316530,0.319955,28.950590,-2.295723,-2.634516,-4.508943
201401012100,0.739159,2.141975,0.289355,28.396340,-2.259822,-3.052616,-2.446922
201401012130,0.829145,2.076999,0.323166,28.048180,-1.967821,-6.806664,-9.363897
201401012200,0.634049,1.988533,0.150812,27.549400,-1.904610,-4.843014,4.412644
201401012230,0.963195,1.954264,-9999.000000,27.298760,-1.681584,-6.525224,0.643258
201401012300,-9999.000000,1.531736,-9999.000000,26.332370,-2.731287,-9999.000000,-9999.000000
201401012330,2.557692,0.719050,0.706538,23.320170,-1.827181,41.146203,26.298214
201401020000,1.419922,0.715811,0.528735,22.722290,-1.513550,14.325287,-0.773369
201401020030,1.307314,0.729091,0.400006,22.448940,-1.721191,9.457191,5.070044
