TIMESTAMP,H,SW_IN,TA,VPD
200901010030,-38.362024,-2.658653,15.863970,0.543735
200901010100,-45.648910,-2.227951,15.405390,0.466665
200901010130,-22.806595,-2.375031,14.902710,0.399463
200901010200,-24.825688,-2.338738,14.335630,0.343253
200901010230,-20.407081,-2.173356,13.946710,0.295784
200901010300,-15.243581,-2.071722,13.566170,0.254568
200901010330,-15.994800,-1.030169,13.494660,0.233307
200901010400,-11.271043,-0.735577,13.696710,0.226924
200901010430,-11.696078,0.220753,14.051630,0.249856
200901010500,-11.949259,0.629337,14.470750,0.289395
200901010530,-11.343996,9.476239,14.780340,0.301880
200901010600,-9.413548,56.454910,15.123850,0.323398
200901010630,-17.975991,90.877750,16.034280,0.418492
200901010700,-62.432637,164.984700,17.059210,0.626862
200901010730,-15.089283,327.580000,17.646490,0.771489
200901010800,15.120531,521.912200,18.577490,0.958295
200901010830,54.333438,652.238700,19.348670,1.036803
200901010900,51.747732,674.959200,19.934800,1.114990
200901010930,21.645639,624.239700,19.753850,1.068932
200901011000,45.201185,715.109300,20.140830,1.113030
200901011030,61.767065,922.404400,21.027130,1.292404
200901011100,29.821990,836.380300,21.293950,1.346332
200901011130,81.473169,1122.339000,22.158010,1.522736
200901011200,44.802592,987.240600,22.541860,1.613187
200901011230,-1.109528,885.904400,22.639560,1.614335
200901011300,57.206287,938.091600,22.834560,1.577089
200901011330,48.145616,995.173700,22.977650,1.620942
200901011400,-13.226484,794.903800,22.781550,1.597115
200901011430,4.599180,926.867900,23.140590,1.738935
200901011500,-9.431345,904.976100,23.334420,1.799478
200901011530,-20.675354,829.655800,23.061790,1.793743
200901011600,-29.838969,736.501300,22.904440,1.670591
200901011630,-34.262662,637.226900,22.501830,1.646515
200901011700,-77.588191,528.724700,22.305550,1.671507
200901011730,-83.220396,413.858800,21.667480,1.643987
200901011800,-110.388317,295.499900,21.017040,1.578381
200901011830,-106.329759,177.735900,20.025870,1.435431
200901011900,-95.261737,76.149420,18.868730,1.288519
200901011930,-110.395777,11.955930,17.688020,1.114134
200901012000,-93.716511,-1.751678,16.895100,1.039412
200901012030,-79.715522,-2.541880,16.182890,0.966746
200901012100,-90.030913,-2.443585,15.529150,0.916179
200901012130,-82.236443,-2.500295,14.869420,0.906313
200901012200,-71.551212,-2.622968,14.210880,0.852015
200901012230,-74.602835,-2.594311,13.713290,0.790906
200901012300,-50.005020,-2.884597,13.114570,0.715231
200901012330,-35.941740,-2.873729,12.453100,0.627758
200901020000,-39.521117,-2.737243,11.812900,0.558073
200901020030,-52.688625,-2.512124,11.454890,0.526441
200901020100,-49.701643,-2.472542,11.052880,0.495964
200901020130,-54.585169,-2.245290,10.595210,0.451140
200901020200,-56.101467,-2.254573,10.360140,0.432683
200901020230,-48.179643,-2.516414,9.720256,0.386444
200901020300,-37.945923,-2.389318,9.357453,0.358665
200901020330,-34.848023,-2.544146,8.823284,0.319370
200901020400,-39.910774,-2.349680,8.349073,0.288065
200901020430,-38.672831,-2.267747,8.043868,0.267753
200901020500,-36.583793,-0.523960,7.820405,0.252337
